Input: "input/sample.json"

Time step 0, t = 0.0 s

Time step 1, t = 1.0 s

Time step 2, t = 2.0 s

Time step 3, t = 3.0 s

Time step 4, t = 4.0 s

Time step 5, t = 5.0 s

Time step 6, t = 6.0 s

Time step 7, t = 7.0 s

Time step 8, t = 8.0 s

Time step 9, t = 9.0 s

Time step 10, t = 10.0 s

Time step 11, t = 11.0 s

Time step 12, t = 12.0 s

Time step 13, t = 13.0 s

Time step 14, t = 14.0 s

Time step 15, t = 15.0 s

Time step 16, t = 16.0 s

Time step 17, t = 17.0 s

Time step 18, t = 18.0 s

Time step 19, t = 19.0 s

Time step 20, t = 20.0 s

Time step 21, t = 21.0 s

Time step 22, t = 22.0 s

Time step 23, t = 23.0 s

Time step 24, t = 24.0 s

Time step 25, t = 25.0 s

Time step 26, t = 26.0 s

Time step 27, t = 27.0 s

Time step 28, t = 28.0 s

Time step 29, t = 29.0 s

Time step 30, t = 30.0 s

Time step 31, t = 31.0 s

Time step 32, t = 32.0 s

Time step 33, t = 33.0 s

Time step 34, t = 34.0 s

Time step 35, t = 35.0 s

Time step 36, t = 36.0 s

Time step 37, t = 37.0 s

Time step 38, t = 38.0 s

Time step 39, t = 39.0 s

Time step 40, t = 40.0 s

Time step 41, t = 41.0 s

Time step 42, t = 42.0 s

Time step 43, t = 43.0 s

Time step 44, t = 44.0 s

Time step 45, t = 45.0 s

Time step 46, t = 46.0 s

Time step 47, t = 47.0 s

Time step 48, t = 48.0 s

Time step 49, t = 49.0 s

Time step 50, t = 50.0 s

Time step 51, t = 51.0 s

Time step 52, t = 52.0 s

Time step 53, t = 53.0 s

Time step 54, t = 54.0 s

Time step 55, t = 55.0 s

Time step 56, t = 56.0 s

Time step 57, t = 57.0 s

Time step 58, t = 58.0 s

Time step 59, t = 59.0 s

Time step 60, t = 60.0 s
